Year,Player,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted..tm.rnd.yr.,BMI,Player_Type,Position_Type,Position,target
2009,378,22.0,113,1.8288,89.35769689,4.5,114.3,9.0,342.9,6.84,4.2,592,26.71772901,0,1,1,0
2009,30,21.0,123,1.905,135.1705263,4.82,74.93,30.0,261.62,7.52,4.55,582,37.24706395,0,2,3,0
2009,727,23.0,108,1.8796,115.6660544,4.74,91.44,24.0,271.78,7.26,4.38,947,32.73972659,0,3,8,0
2009,132,22.0,117,1.778,82.55381134,4.4,92.71,8.0,325.12,6.9,4.23,958,26.11401296,0,1,1,0
2009,545,22.0,13,1.9558,140.1600423,5.09,60.96,33.0,243.84,7.53,4.69,1046,36.64167652,1,4,9,0
2009,302,22.0,26,1.905,141.5208194,4.92,77.47,29.0,271.78,8.28,4.84,1061,38.99692602,0,2,3,0
2009,215,22.0,150,1.8288,99.7903214,4.57,88.9,19.0,281.94,6.85,4.29,1067,29.83705778,1,0,11,0
2009,521,22.0,113,1.8796,110.6765383,4.72,83.82,22.0,292.1,6.93,4.24,1051,31.32742466,0,3,6,0
2009,124,22.0,59,1.8288,88.90410452,4.44,97.79,20.0,309.88,7.04,4.29,1057,26.58210602,0,1,1,0
2009,1134,20.0,56,1.8034,92.07925111,4.4,91.44,25.0,317.5,6.75,4.07,622,28.31246274,0,1,1,0
2009,985,21.0,164,1.905,97.06876718,4.47,86.36,10.0,302.26,6.92,4.15,629,26.74789156,0,1,1,0
2009,202,23.0,26,1.8288,94.34721296,4.33,95.25,19.0,322.58,7.27,4.38,648,28.2095819,0,1,5,0
2009,513,23.0,87,1.778,97.06876718,4.43,85.09,29.0,294.64,7.02,4.2,704,30.70548776,0,1,13,0
2009,548,23.0,135,1.8796,114.3052772,4.67,90.17,26.0,289.56,7.03,4.32,684,32.35455334,0,3,6,0
2009,82,21.0,44,1.7526,87.99691978,4.48,88.9,22.0,292.1,6.93,4.3,672,28.64849789,0,1,1,0
2009,888,23.0,114,2.032,150.5926668,5.45,73.66,24.0,241.3,8.18,5.06,666,36.47173444,1,4,9,0
2009,943,22.0,16,1.905,149.6854821,5.48,71.12,32.0,251.46,8.15,4.73,712,41.24674867,0,2,3,0
2009,760,21.0,113,1.8288,92.53284348,4.51,83.82,15.0,314.96,6.59,4.08,741,27.66708994,0,1,1,0
2009,1016,22.0,172,1.8288,105.2334298,4.56,80.01,19.0,307.34,7.22,4.39,755,31.46453366,0,3,6,0
2009,199,23.0,172,1.8542,100.2439138,4.42,93.98,21.0,317.5,7.03,4.12,754,29.15713588,0,1,13,0
2009,332,22.0,100,1.8034,89.81128926,4.52,87.63,17.0,309.88,7.0,4.44,796,27.61511144,0,1,1,0
2009,1140,24.0,31,1.9812,139.2528576,5.06,85.09,27.0,271.78,7.62,4.77,774,35.47704815,1,4,9,0
2009,46,22.0,106,1.8288,101.6046909,4.37,93.98,24.0,292.1,7.35,4.33,784,30.37954974,1,0,11,0
2009,1010,23.0,59,1.778,102.965468,4.55,93.98,19.0,307.34,7.1,4.4,808,32.5707744,1,0,11,0
2009,309,22.0,78,1.8796,95.2543977,4.3,97.79,16.0,320.04,6.8,4.18,831,26.96212778,1,0,15,0
2009,801,22.0,182,1.9558,120.6555704,4.86,77.47,24.0,284.48,7.68,4.88,839,31.542673,0,2,2,0
2009,432,23.0,116,1.9558,142.4280042,5.2,64.77,24.0,238.76,8.33,5.02,885,37.23458391,1,4,9,0
2009,841,23.0,78,1.8542,105.6870222,4.65,78.74,12.0,307.34,7.09,4.28,895,30.74032878,0,3,8,0
2009,1178,22.0,89,1.905,136.077711,4.83,83.82,34.0,274.32,7.5,4.55,901,37.49704425,0,2,3,0
2009,575,22.0,20,1.7526,87.08973504,4.58,90.17,22.0,299.72,6.68,4.25,930,28.35315255,0,1,1,0
2009,832,22.0,87,1.8288,90.26488163,4.33,101.6,14.0,327.66,6.9,4.27,912,26.98897499,1,0,15,0
2009,320,21.0,8,1.8542,117.9340162,4.73,82.55,21.0,287.02,7.28,4.43,941,34.3025128,1,0,4,0
2009,705,23.0,182,1.9558,148.7782974,5.25,60.96,29.0,238.76,7.87,4.89,909,38.8947246,1,4,7,0
2009,3,22.0,118,1.8542,137.8920805,5.19,78.74,33.0,254.0,7.46,4.4,939,40.10755343,1,4,0,0
2009,980,23.0,119,1.8542,110.6765383,4.7,90.17,27.0,302.26,7.0,4.39,988,32.19158894,0,3,6,0
2009,455,21.0,2,1.8288,94.80080533,4.5,91.44,24.0,307.34,7.35,4.51,976,28.34520489,1,0,11,0
2009,259,23.0,68,1.8796,94.80080533,4.49,95.25,13.0,327.66,7.25,4.23,1000,26.8337367,0,1,5,0
2009,5,22.0,172,1.8796,115.212462,4.52,93.98,25.0,314.96,7.15,4.51,1004,32.61133551,0,3,8,0
2009,172,21.0,19,1.905,110.6765383,4.61,82.55,24.0,292.1,6.99,4.36,1043,30.49759599,1,0,14,0
2009,252,22.0,126,1.8288,96.16158244,4.55,87.63,21.0,294.64,7.35,4.16,1042,28.75207386,0,1,13,0
2009,354,23.0,118,1.778,82.55381134,4.31,87.63,12.0,299.72,7.01,4.48,1016,26.11401296,1,0,15,0
2009,804,22.0,116,1.9558,140.1600423,5.26,62.23,22.0,236.22,7.39,4.5,1006,36.64167652,1,4,0,0
2009,977,23.0,117,1.7526,85.72895793,4.45,76.2,13.0,279.4,7.03,4.28,1107,27.91013454,1,0,15,0
2009,1160,22.0,56,1.9304,136.9848957,5.01,78.74,27.0,281.94,7.35,4.56,1097,36.76021694,1,4,9,0
2009,711,22.0,163,1.9558,123.3771246,4.76,77.47,22.0,266.7,7.4,4.47,1092,32.25416186,0,2,2,0
2009,950,21.0,150,1.8542,140.6136347,4.93,81.28,36.0,261.62,8.01,4.74,1083,40.89914988,0,2,3,0
2009,452,22.0,140,1.8796,104.7798375,4.49,86.36,19.0,312.42,7.24,4.35,1132,29.65834056,0,3,6,0
2009,550,22.0,84,1.7526,92.98643585,4.5,86.36,23.0,292.1,6.87,4.11,1138,30.27289725,1,0,11,0
2009,1102,22.0,159,1.9558,140.1600423,5.3,76.2,21.0,254.0,7.65,4.84,1134,36.64167652,1,4,9,0
2009,783,23.0,98,1.9304,98.88313666,4.43,81.28,9.0,294.64,7.04,4.33,1176,26.53552084,1,0,15,0
2010,49,22.0,25,1.8034,88.45051215,4.4,91.44,15.0,304.8,6.77,4.15,17,27.19670066,1,0,15,0
2010,292,22.0,147,1.8796,148.324705,5.19,81.28,27.0,243.84,7.88,4.87,2,41.98388469,0,2,3,0
2010,987,22.0,89,1.8542,108.4085764,4.62,101.6,34.0,312.42,6.99,4.38,39,31.53192523,0,3,8,0
2010,376,22.0,114,1.8034,87.99691978,4.46,85.09,10.0,297.18,7.32,4.33,60,27.0572304,0,1,1,0
2010,578,21.0,162,1.905,134.7169339,5.21,66.04,35.0,266.7,7.5,4.73,55,37.12207381,1,4,0,0
2010,404,22.0,116,1.9304,112.9445001,4.59,86.36,23.0,292.1,7.32,4.59,79,30.30892059,1,0,14,0
2010,992,22.0,150,1.905,113.3980925,4.65,92.71,25.0,299.72,7.26,4.53,74,31.24753687,0,3,8,0
2010,325,22.0,164,1.8288,86.63614267,4.56,93.98,15.0,289.56,6.95,4.38,104,25.90399107,1,0,15,0
2010,353,24.0,11,1.9304,111.1301307,4.68,86.36,27.0,287.02,6.72,4.17,90,29.8220303,1,0,14,0
2010,1078,21.0,20,1.905,142.4280042,5.12,73.66,34.0,248.92,7.61,4.73,127,39.24690631,0,2,3,0
2010,80,21.0,62,1.8288,111.583723,4.64,92.71,24.0,309.88,7.22,4.37,154,33.36325552,0,3,8,0
2010,771,22.0,31,1.905,95.2543977,4.39,86.36,16.0,312.42,6.94,4.6,141,26.24793097,1,0,15,0
2010,744,22.0,158,1.905,103.8726527,4.93,80.01,20.0,269.24,7.07,4.43,157,28.62274378,1,0,10,0
2010,319,22.0,13,1.905,98.42954429,4.43,87.63,15.0,314.96,6.94,4.41,187,27.12286201,1,0,15,0
2010,460,21.0,87,1.9304,127.459456,4.82,88.9,21.0,297.18,7.25,4.65,185,34.20404292,0,2,2,0
2010,636,21.0,64,1.8034,85.27536556,4.5,92.71,2.0,309.88,6.74,4.07,210,26.22040884,0,1,1,0
2010,758,21.0,37,1.8034,93.44002822,4.44,95.25,14.0,302.26,6.95,4.36,200,28.73087352,0,1,5,0
2010,564,21.0,114,1.9558,118.3876086,4.66,88.9,20.0,287.02,7.07,4.53,218,30.94976561,1,0,14,0
2010,447,21.0,44,1.8542,132.9025644,4.75,83.82,34.0,297.18,7.33,4.43,238,38.65629327,0,2,3,0
2010,129,22.0,172,1.8288,87.08973504,4.37,93.98,15.0,322.58,6.75,4.07,233,26.03961406,0,1,1,0
2010,371,20.0,63,1.8796,93.89362059,4.66,83.82,9.0,292.1,7.1,4.57,254,26.57695453,1,0,15,0
2010,178,21.0,37,1.9812,125.6450865,4.68,80.01,21.0,281.94,7.21,4.61,224,32.01023563,0,2,2,0
2010,939,23.0,150,1.8796,111.583723,4.68,78.74,19.0,279.4,7.25,4.39,242,31.58420683,0,3,8,0
2010,577,20.0,37,1.8034,87.54332741,4.52,88.9,18.0,317.5,6.94,4.34,265,26.91776014,0,1,1,0
2010,999,22.0,5,1.905,142.8815966,5.22,67.31,33.0,256.54,7.56,4.51,277,39.37189646,1,4,7,0
2010,842,23.0,147,1.8288,102.0582833,4.49,104.14,21.0,314.96,6.87,4.14,272,30.51517273,1,0,11,0
2010,180,21.0,138,1.905,97.52235955,4.46,91.44,16.0,309.88,6.96,4.55,289,26.87288171,1,0,15,0
2010,726,21.0,97,1.8288,96.16158244,4.62,95.25,14.0,299.72,7.0,4.17,286,28.75207386,0,1,13,0
2010,974,22.0,111,2.032,143.3351889,5.2,74.93,29.0,264.16,7.73,4.87,328,34.7140605,1,4,9,0
2010,484,22.0,13,1.905,136.077711,5.19,68.58,24.0,256.54,7.6,4.69,356,37.49704425,1,4,0,0
2010,418,21.0,111,1.9304,138.7992652,5.25,74.93,35.0,236.22,7.5,4.82,373,37.24710723,1,4,0,0
2010,532,22.0,58,1.8542,117.9340162,5.05,83.82,26.0,281.94,7.5,4.74,378,34.3025128,0,2,2,0
2010,857,23.0,97,1.9304,139.2528576,5.03,90.17,32.0,266.7,7.21,4.44,384,37.36882981,0,2,3,0
2010,1156,24.0,106,1.9558,113.8516849,4.88,96.52,25.0,299.72,7.24,4.56,417,29.76395083,0,2,2,0
2010,498,21.0,19,1.778,90.26488163,4.34,82.55,18.0,287.02,6.75,4.17,385,28.55323395,1,0,11,0
2010,523,24.0,17,1.8796,98.88313666,4.5,91.44,15.0,302.26,6.89,4.23,466,27.98925646,1,0,11,0
2010,789,21.0,144,1.9304,144.695966,4.99,63.5,25.0,246.38,7.4,4.6,460,38.82950068,1,4,7,0
2010,830,22.0,123,1.905,133.3561568,4.87,83.82,31.0,287.02,7.53,4.53,434,36.74710336,0,2,3,0
2010,160,20.0,59,1.9558,142.4280042,5.2,69.85,26.0,248.92,7.7,4.75,424,37.23458391,1,4,9,0
2010,104,21.0,10,1.8034,99.7903214,4.34,102.87,26.0,314.96,6.91,4.12,487,30.68345716,1,0,11,0
2010,666,21.0,2,1.778,88.90410452,4.4,95.25,13.0,299.72,6.92,4.14,476,28.12278319,0,1,1,0
2010,442,23.0,182,1.905,110.2229459,4.71,87.63,20.0,284.48,7.09,4.35,498,30.37260584,1,0,14,0
2010,387,21.0,119,1.8542,102.5118756,4.4,110.49,24.0,317.5,6.96,4.3,513,29.81679959,1,0,14,0
2010,1100,23.0,68,1.651,75.29633342,4.34,106.68,10.0,294.64,6.54,4.48,508,27.62356218,1,0,15,0
2010,401,22.0,4,1.8796,134.2633415,4.75,72.39,25.0,271.78,7.68,4.55,493,38.00376106,0,2,3,0
2010,1005,22.0,29,1.905,136.077711,5.03,86.36,26.0,284.48,7.67,4.71,507,37.49704425,1,4,7,0
2010,883,23.0,59,1.8288,106.594207,4.71,88.9,26.0,279.4,7.04,4.29,524,31.87140263,0,3,6,0
2010,570,21.0,144,1.8796,115.6660544,4.65,87.63,26.0,299.72,6.99,4.15,520,32.73972659,0,3,8,0
2010,669,23.0,26,1.8288,109.7693535,4.59,85.09,24.0,279.4,7.36,4.6,545,32.82076356,0,3,8,0
2010,694,23.0,163,1.8288,87.08973504,4.41,87.63,19.0,320.04,6.82,4.18,531,26.03961406,0,1,1,0
2010,1119,22.0,19,1.8796,133.8097492,4.87,90.17,21.0,294.64,7.15,4.43,548,37.87536998,0,2,2,0
2010,681,21.0,87,1.8288,89.81128926,4.73,80.01,16.0,294.64,6.88,4.33,596,26.853352,0,1,5,0
2010,413,21.0,147,1.8288,95.70799007,4.4,109.22,19.0,330.2,6.8,4.23,575,28.61645087,0,1,5,0
2010,1077,22.0,59,1.905,111.1301307,4.69,86.36,18.0,287.02,7.1,4.42,589,30.62258614,1,0,14,0
2010,960,22.0,42,1.8288,98.88313666,4.37,91.44,19.0,307.34,7.0,4.33,945,29.5658118,1,0,11,0
2010,168,23.0,104,1.9304,149.6854821,5.16,73.66,31.0,259.08,7.68,4.78,957,40.16844898,0,2,3,0
2010,449,23.0,138,1.9304,114.3052772,4.93,77.47,24.0,276.86,7.48,4.63,1069,30.67408831,0,2,2,0
2010,940,21.0,58,1.9558,143.3351889,5.21,74.93,27.0,287.02,7.42,4.67,1049,37.47174687,1,4,9,0
2010,565,23.0,138,1.8288,88.90410452,4.5,96.52,16.0,322.58,6.87,4.05,1055,26.58210602,0,1,1,0
2010,626,22.0,118,1.905,107.5013917,4.93,82.55,25.0,292.1,6.86,4.07,1072,29.62266496,0,3,6,0
2010,916,22.0,44,1.8542,97.06876718,4.51,100.33,24.0,299.72,7.43,4.54,645,28.23360669,0,1,13,0
2010,535,22.0,118,1.9558,137.8920805,5.03,73.66,26.0,269.24,7.22,4.59,623,36.04876914,0,2,3,0
2010,1,22.0,59,1.9304,111.583723,4.62,83.82,16.0,297.18,7.19,4.28,638,29.94375287,0,3,8,0
2010,206,23.0,172,1.9304,147.4175203,5.12,82.55,27.0,261.62,7.84,4.9,687,39.55983611,1,4,7,0
2010,1071,22.0,142,1.8288,104.7798375,4.5,96.52,22.0,299.72,6.94,4.25,665,31.32891067,1,0,11,0
2010,205,23.0,169,1.8796,96.16158244,4.45,96.52,7.0,335.28,6.88,4.23,662,27.21890995,0,1,1,0
2010,854,22.0,86,1.905,113.3980925,4.7,83.82,20.0,292.1,7.02,4.37,688,31.24753687,0,3,8,0
2010,365,22.0,126,1.8034,87.54332741,4.38,91.44,16.0,320.04,6.7,4.07,710,26.91776014,0,1,1,0
2010,1055,22.0,112,1.8288,92.53284348,4.4,93.98,16.0,289.56,6.82,4.34,722,27.66708994,1,0,15,0
2010,1069,22.0,167,1.9812,139.2528576,5.42,73.66,29.0,266.7,7.67,4.8,735,35.47704815,1,4,9,0
2010,1057,22.0,106,1.905,137.8920805,5.19,60.96,26.0,243.84,7.81,4.66,734,37.99700484,1,4,0,0
2010,802,22.0,16,1.9558,136.077711,5.15,63.5,27.0,248.92,7.6,4.62,757,35.57444323,1,4,0,0
2010,544,21.0,138,1.9558,122.4699399,4.71,77.47,19.0,292.1,7.18,4.67,766,32.0169989,0,2,2,0
2010,746,21.0,34,1.9304,148.7782974,5.09,76.2,39.0,254.0,8.12,4.71,772,39.92500383,0,2,3,0
2010,16,22.0,181,1.905,112.4909078,4.76,90.17,20.0,279.4,7.08,4.34,791,30.99755658,0,3,8,0
2010,1132,22.0,79,1.9304,150.5926668,5.21,66.04,29.0,231.14,8.25,4.97,807,40.41189412,1,4,9,0
2010,586,22.0,66,1.8034,111.583723,4.64,88.9,24.0,281.94,7.15,4.32,816,34.30968391,1,0,4,0
2010,495,22.0,26,1.7526,84.36818082,4.28,85.09,15.0,292.1,7.0,4.44,848,27.46711653,1,0,15,0
2010,156,21.0,78,1.9812,142.4280042,4.75,81.28,34.0,256.54,7.58,4.69,846,36.28597107,1,4,9,0
2010,537,22.0,52,2.032,141.5208194,5.06,85.09,32.0,276.86,7.4,4.51,838,34.27464201,1,4,9,0
2010,721,22.0,150,1.905,138.3456729,4.84,85.09,30.0,289.56,7.61,4.71,833,38.12199499,0,2,3,0
2010,1083,22.0,5,1.8796,108.8621688,4.81,88.9,21.0,281.94,6.93,4.54,857,30.81386032,0,3,6,0
2010,1094,24.0,66,1.8034,83.00740371,4.51,97.79,9.0,294.64,6.81,4.27,880,25.52305754,0,1,1,0
2010,922,23.0,26,1.9304,114.3052772,4.65,86.36,23.0,289.56,7.29,4.41,882,30.67408831,0,3,8,0
2010,296,23.0,173,1.905,119.2947933,4.73,93.98,29.0,307.34,6.91,4.18,877,32.87240879,0,2,2,0
2010,511,23.0,88,1.8542,109.7693535,4.54,99.06,26.0,314.96,6.9,4.29,894,31.92772345,0,3,6,0
2010,547,22.0,170,1.8542,115.212462,4.65,96.52,24.0,289.56,6.95,4.29,903,33.51091635,0,3,8,0
2010,255,22.0,26,1.8288,86.63614267,4.43,100.33,17.0,307.34,7.08,4.23,928,25.90399107,0,1,1,0
2010,218,22.0,147,1.9558,144.695966,5.52,57.15,19.0,228.6,8.24,5.03,924,37.8274913,1,4,7,0
