Method,Models,Distant,Coordinate
A,"(4, 3)",1.2378747739134095,"(37.59605407714844, 127.10065157866926)"
A,"(2, 3)",1.2431058601442238,"(37.595596425000025, 127.10065157866926)"
D,"(0, 3)",1.759502297844391,"(37.59593922687352, 127.10657747334986)"
D,"(2, 3)",1.779635281816384,"(37.594359211000025, 127.10657747334986)"
D,"(4, 3)",1.7947335097072645,"(37.600318908691406, 127.10657747334986)"
D,"(3, 0)",3.6063693714454725,"(37.629403006767234, 127.08697169624857)"
D,"(3, 4)",3.6073771762863682,"(37.629403006767234, 127.0876693725586)"
D,"(3, 2)",3.629476243556413,"(37.629403006767234, 127.08199560999998)"
A,"(3, 0)",3.8541131813153053,"(37.63162405717497, 127.08571085451449)"
A,"(3, 4)",3.859729905050599,"(37.63162405717497, 127.0841064453125)"
A,"(3, 2)",3.865656380914221,"(37.63162405717497, 127.08313248999997)"
D,"(3, 3)",4.01078372901699,"(37.629403006767234, 127.10657747334986)"
A,"(3, 3)",4.045808513041614,"(37.63162405717497, 127.10065157866926)"
E,"(3, 0)",4.449166707477717,"(37.636983444001636, 127.0866008009594)"
E,"(3, 4)",4.452574329738911,"(37.636983444001636, 127.08467102050781)"
E,"(3, 2)",4.468432469860698,"(37.636983444001636, 127.08194280999989)"
E,"(3, 3)",4.479931071699077,"(37.636983444001636, 127.09259974873316)"
C,"(3, 0)",5.09277877441142,"(37.64275926784663, 127.08530743417958)"
C,"(3, 3)",5.093923177734852,"(37.64275926784663, 127.08846630965266)"
C,"(3, 4)",5.106418893576011,"(37.64275926784663, 127.08220672607422)"
C,"(3, 2)",5.108384788235875,"(37.64275926784663, 127.08192432999985)"
A,"(0, 1)",7.583109574276901,"(37.59659074393162, 127.00057891190875)"
A,"(4, 1)",7.583704613679099,"(37.59605407714844, 127.00057891190875)"
A,"(2, 1)",7.5848874468811065,"(37.59546931200002, 127.00057891190875)"
A,"(3, 1)",8.504236652525826,"(37.63162405717497, 127.00057891190875)"
A,"(1, 0)",9.73287741427946,"(37.50944461135705, 127.08571085451449)"
A,"(1, 4)",9.735106595948963,"(37.50944461135705, 127.0841064453125)"
A,"(1, 2)",9.738623661567676,"(37.50944461135705, 127.08274028999988)"
A,"(1, 3)",9.810492733213609,"(37.50944461135705, 127.10065157866926)"
B,"(4, 0)",10.427595327485761,"(37.62311935424805, 126.9729652769475)"
B,"(2, 0)",10.615435979269575,"(37.56539398900001, 126.9729652769475)"
D,"(1, 0)",10.752032250119592,"(37.50027632293071, 127.08697169624857)"
D,"(1, 4)",10.75237090933851,"(37.50027632293071, 127.0876693725586)"
D,"(1, 2)",10.75840315390607,"(37.50027632293071, 127.08243751999994)"
D,"(1, 3)",10.894587148674997,"(37.50027632293071, 127.10657747334986)"
C,"(1, 0)",10.89584221316279,"(37.49898844523602, 127.08530743417958)"
C,"(1, 3)",10.896378194591904,"(37.49898844523602, 127.08846630965266)"
