건물,호선,역,주소,cor
이디야,1.0,금정역,경기도 군포시 산본동 산본천로 216,"X :126.941413, Y :37.3711144"
다이소,1.0,금정역,경기도 군포시 군포로 486,"X :126.944624, Y :37.3496626"
올리브영,1.0,금정역,경기도 군포시 산본1동 266-7,"X :126.943050, Y :37.3712323"
스타벅스,1.0,금정역,"경기도 군포시 금정동 엘에스로 143 힐스테이트 금정역), AK플라자 4층","X :126.944821, Y :37.3722964"
이디야,1.0,군포역,경기도 군포시 당동 751-7번지 KR 1층,"X :126.946144, Y :37.3538891"
다이소,1.0,군포역,경기도 군포시 군포로 486,"X :126.944624, Y :37.3496626"
올리브영,1.0,군포역,경기도 군포시 산본1동 266-7,"X :126.943050, Y :37.3712323"
스타벅스,1.0,군포역,경기도 군포시 산본동 111 KR,"X :126.935778, Y :37.3724449"
이디야,1.0,당정역,당정동 1013-1번지 103호 동원빌딩 군포시 경기도 KR,"X :126.948871, Y :37.3440061"
다이소,1.0,당정역,경기도 군포시 군포로 486,"X :126.944624, Y :37.3496626"
올리브영,1.0,당정역,경기도 군포시 당동 921-3,"X :126.943847, Y :37.3466528"
스타벅스,1.0,당정역,경기도 군포시 당정동 1015-5,"X :126.949741, Y :37.3431596"
이디야,1.0,의왕역,경기도 의왕시 삼동 199-1,"X :126.956502, Y :37.3219702"
다이소,1.0,의왕역,경기도 의왕시 삼동 192-60,"X :126.949745, Y :37.3201924"
올리브영,1.0,의왕역,KR 경기 의왕시 삼동 471-24,"X :x좌표없음, Y :y좌표없음"
스타벅스,1.0,의왕역,경기도 의왕시 청계동 829-4 KR,"X :126.998356, Y :37.3883930"
이디야,1.0,성균관대역,경기도 수원시 장안구 율전동 292-7,"X :126.970209, Y :37.2981784"
다이소,1.0,성균관대역,경기도 수원시 장안구 율전동 495-2,"X :126.972249, Y :37.3001702"
올리브영,1.0,성균관대역,경기도 수원시 장안구 율전동 285-8,"X :126.971799, Y :37.2982329"
스타벅스,1.0,성균관대역,경기도 수원시 장안구 서부로 2131,"X :126.971573, Y :37.2989446"
이디야,1.0,화서역,경기도 수원시 팔달구 화서동 174-14,"X :126.998857, Y :37.2790445"
다이소,1.0,화서역,경기도 수원시 팔달구 화서2동 410-1,"X :126.984727, Y :37.2840802"
올리브영,1.0,화서역,경기도 수원시 팔달구 향교로 5 1층,"X :127.001834, Y :37.2677636"
스타벅스,1.0,화서역,경기도 수원시 팔달구 매산로 11,"X :127.002848, Y :37.2674662"
이디야,1.0,수원역,경기도 수원시 팔달구 매산로2가 40-34,"X :127.005092, Y :37.2686285"
다이소,1.0,수원역,경기도 수원시 팔달구 매산로1가 덕영대로 924,"X :126.999872, Y :37.2661507"
올리브영,1.0,수원역,경기도 수원시 팔달구 덕영대로,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,수원역,경기도 수원시 팔달구 매산로1가 18 KR AK플라자,"X :127.000086, Y :37.2656642"
이디야,1.0,세류역,경기도 수원시 권선구 세류1동 230-39,"X :127.007887, Y :37.2642944"
다이소,1.0,세류역,경기도 수원시 권선구 세류동 경수대로 291,"X :127.019790, Y :37.2530302"
올리브영,1.0,세류역,경기도 수원시 권선구 권선동 1192-1,"X :127.022753, Y :37.2499752"
스타벅스,1.0,세류역,경기도 수원시 권선구 세류동 325-1 KR,"X :127.011235, Y :37.2627714"
이디야,1.0,병정역,경기도 화성시 진안동 527-16,"X :127.035235, Y :37.2082000"
다이소,1.0,병정역,경기도 화성시 병점동 431-54,"X :127.039413, Y :37.2056848"
올리브영,1.0,병정역,진안동 914-2번지 화성시 경기도 KR,"X :127.042639, Y :37.2147302"
스타벅스,1.0,병정역,경기도 화성시 진안동 873-4,"X :127.038256, Y :37.2126953"
이디야,1.0,신도림역,서울특별시 구로구 신도림 테크노마트 1층,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,신도림역,서울특별시 구로구 신도림동 경인로 662 디큐브시티,"X :126.889592, Y :37.5089852"
올리브영,1.0,신도림역,서울특별시 구로구 신도림동 360-51,"X :126.882160, Y :37.5100141"
스타벅스,1.0,신도림역,서울특별시 구로구 신도림동 413-9,"X :126.883931, Y :37.5054568"
이디야,1.0,영등포역,서울특별시 영등포구 영등포동 423-103,"X :126.906119, Y :37.5159554"
다이소,1.0,영등포역,서울특별시 영등포구 영등포동3가 9-2,"X :126.906195, Y :37.5179647"
올리브영,1.0,영등포역,서울특별시 영등포구 영중로 15,"X :126.903324, Y :37.5170614"
스타벅스,1.0,영등포역,서울특별시 영등포구 영등포동1가 143-3 J&AMP;S,"X :126.909262, Y :37.5169670"
이디야,1.0,신길역,서울특별시 영등포구 신길동 59-2,"X :126.918065, Y :37.5150545"
다이소,1.0,신길역,신길동 110-5번지 지하1층 B동 01호 태화빌딩 영등포구 서울특별시 KR,"X :126.916925, Y :37.5124768"
올리브영,1.0,신길역,KR 서울 영등포구 신길동 103-9,"X :x좌표없음, Y :y좌표없음"
스타벅스,1.0,신길역,서울특별시 영등포구 신길동 252-9,"X :126.910058, Y :37.5045609"
이디야,1.0,대방역,서울특별시 동작구 대방동 노량진로 24,"X :126.928337, Y :37.5128808"
다이소,1.0,대방역,서울특별시 동작구 대방동 341-2,"X :126.926223, Y :37.5123930"
올리브영,1.0,대방역,서울특별시 영등포구 영등포로 422,"X :126.924786, Y :37.5123200"
스타벅스,1.0,대방역,노량진로 134 동작구 서울특별시 KR,"X :126.940858, Y :37.5133384"
이디야,1.0,노량진역,서울특별시 동작구 노량진2동 노량진로 110,"X :126.938177, Y :37.5131929"
다이소,1.0,노량진역,서울특별시 동작구 노량진로 166,"X :126.944783, Y :37.5133674"
올리브영,1.0,노량진역,서울특별시 동작구 노량진로 162,"X :126.943901, Y :37.5133670"
스타벅스,1.0,노량진역,노량진로 134 동작구 서울특별시 KR,"X :126.940858, Y :37.5133384"
이디야,1.0,용산역,서울특별시 용산구 한강대로 52-1,"X :126.964662, Y :37.5253946"
다이소,1.0,용산역,서울특별시 용산구 한강로동 한강대로21나길 7,"X :126.963935, Y :37.5295840"
올리브영,1.0,용산역,서울특별시 용산구 한강로3가 40-999,"X :126.963212, Y :37.5278989"
스타벅스,1.0,용산역,서울특별시 용산구 한강로3가 한강대로23길 55 6층,"X :126.963935, Y :37.5295840"
이디야,1.0,남영역,"번지 2 층, 87 갈월동 용산구 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,1.0,남영역,서울특별시 용산구 갈월동 한강대로77길 12 국제전산빌딩,"X :126.971850, Y :37.5422001"
올리브영,1.0,남영역,서울특별시 용산구 남영동 한강대로 285,"X :126.971883, Y :37.5436868"
스타벅스,1.0,남영역,서울특별시 용산구 갈월동 90-8,"X :126.972234, Y :37.5428580"
이디야,1.0,서울역,서울특별시 용산구 동자동 후암로 93,"X :126.975105, Y :37.5533282"
다이소,1.0,서울역,서울특별시 용산구 한강대로 405,"X :126.971042, Y :37.5523812"
올리브영,1.0,서울역,서울특별시 용산구 한강대로 405,"X :126.971042, Y :37.5523812"
스타벅스,1.0,서울역,서울특별시 용산구 동자동 43-205 서울역(철도역,"X :126.971709, Y :37.5548230"
이디야,1.0,시청역,서울특별시 중구 무교동 세종대로20길 23,"X :126.978824, Y :37.5671231"
다이소,1.0,시청역,서울특별시 중구 세종대로,"X :우편번호없음, Y :x좌표없음"
올리브영,1.0,시청역,서울특별시 중구 세종대로16길 1,"X :126.977116, Y :37.5635549"
스타벅스,1.0,시청역,서울특별시 중구 을지로1가 50 삼성 화재 삼성 빌딩 1 층,"X :126.979933, Y :37.5662944"
이디야,1.0,종각역,종로타워 지하 KR 서울특별시 종로구 종로 51 1층,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,종각역,종로타워 지하 KR 서울특별시 종로구 종로 51 1층,"X :우편번호없음, Y :x좌표없음"
올리브영,1.0,종각역,서울특별시 종로구 종로2가 7,"X :126.984256, Y :37.5704217"
스타벅스,1.0,종각역,서울특별시 종로구 종로 64,"X :126.984505, Y :37.5699442"
이디야,1.0,종로3가역,서울특별시 종로구 종로 126,"X :126.991512, Y :37.5700801"
다이소,1.0,종로3가역,서울특별시 종로구 종로2가 삼일대로 395,"X :126.987347, Y :37.5699445"
올리브영,1.0,종로3가역,서울특별시 종로구 종로3가 117,"X :126.990640, Y :37.5700350"
스타벅스,1.0,종로3가역,서울특별시 종로구 종로 113-1,"X :126.990199, Y :37.5705755"
이디야,1.0,종로5가역,서울특별시 종로구 종로5가 182-5,"X :127.002232, Y :37.5705851"
다이소,1.0,종로5가역,서울특별시 종로구 종로5가 182-5,"X :127.002232, Y :37.5705851"
올리브영,1.0,종로5가역,서울특별시 종로구 종로2가,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,종로5가역,서울특별시 종로구 인의동 48-2,"X :126.998315, Y :37.5712878"
이디야,1.0,동대문역,서울특별시 종로구 율곡로 286,"X :127.008095, Y :37.5718102"
다이소,1.0,동대문역,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
올리브영,1.0,동대문역,서울특별시 중구 장충단로 251,"X :127.008027, Y :37.5671611"
스타벅스,1.0,동대문역,서울특별시 중구 장충단로 229,"X :127.007189, Y :37.5652060"
이디야,1.0,동묘앞역,서울특별시 종로구 율곡로 286,"X :127.008095, Y :37.5718102"
다이소,1.0,동묘앞역,서울특별시 종로구 숭인동 85,"X :127.018929, Y :37.5755572"
올리브영,1.0,동묘앞역,서울특별시 종로구 창신동 266-1,"X :127.015318, Y :37.5732422"
스타벅스,1.0,동묘앞역,서울특별시 종로구 숭인동 310 대우 디오빌,"X :127.016065, Y :37.5727105"
이디야,1.0,신설동역,서울특별시 종로구 숭인동,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,신설동역,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
올리브영,1.0,신설동역,서울특별시 동대문구 신설동,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,신설동역,서울특별시 동대문구 왕산로 19,"X :127.025518, Y :37.5766913"
이디야,1.0,제기동역,용두동 119-1번지 동대문구 서울특별시 KR,"X :x좌표없음, Y :y좌표없음"
다이소,1.0,제기동역,서울특별시 동대문구 제기동 번지 지하 1054-1 1층,"X :우편번호없음, Y :x좌표없음"
올리브영,1.0,제기동역,서울특별시 동대문구 전농동 왕산로 214,"X :127.046973, Y :37.5809647"
스타벅스,1.0,제기동역,서울특별시 동대문구 왕산로 19,"X :127.025518, Y :37.5766913"
이디야,1.0,청량리역,서울특별시 동대문구 청량리동 왕산로 225 미주상가,"X :127.047064, Y :37.5820999"
다이소,1.0,청량리역,서울특별시 동대문구 청량리동,"X :우편번호없음, Y :x좌표없음"
올리브영,1.0,청량리역,서울특별시 동대문구 전농동 왕산로 214,"X :127.046973, Y :37.5809647"
스타벅스,1.0,청량리역,서울특별시 동대문구 전농동 591-53,"X :127.046486, Y :37.5806135"
이디야,1.0,회기역,서울특별시 동대문구 휘경동,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,회기역,서울특별시 동대문구 휘경동 320-3,"X :127.056693, Y :37.5901236"
올리브영,1.0,회기역,서울특별시 동대문구 휘경동,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,회기역,서울특별시 동대문구 회기동 이문로 37,"X :127.056037, Y :37.5907996"
이디야,1.0,외대앞역,서울특별시 동대문구 이문동 305-59,"X :127.061249, Y :37.5958336"
다이소,1.0,외대앞역,서울특별시 동대문구 이문동 휘경로 15,"X :127.061951, Y :37.5958963"
올리브영,1.0,외대앞역,서울특별시 동대문구 이문동 270-1,"X :127.057922, Y :37.5982769"
스타벅스,1.0,외대앞역,서울특별시 동대문구 이문1동 이문로19길 8-1,"X :127.058565, Y :37.5949249"
이디야,1.0,신이문역,서울특별시 동대문구 이문동 305-59,"X :127.061249, Y :37.5958336"
다이소,1.0,신이문역,서울특별시 동대문구 이문동 휘경로 15,"X :127.061951, Y :37.5958963"
올리브영,1.0,신이문역,서울특별시 동대문구 이문동 270-1,"X :127.057922, Y :37.5982769"
스타벅스,1.0,신이문역,서울특별시 동대문구 이문1동 이문로19길 8-1,"X :127.058565, Y :37.5949249"
이디야,1.0,석계역,"1 층, 168-2 석관동 성북구 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,1.0,석계역,서울특별시 노원구 월계동 63-10,"X :127.064210, Y :37.6158339"
올리브영,1.0,석계역,서울특별시 노원구 월계동 55-14,"X :127.063893, Y :37.6155368"
스타벅스,1.0,석계역,"1 층, 168-2 석관동 성북구 서울특별시","X :x좌표없음, Y :y좌표없음"
이디야,1.0,광운대역,서울특별시 노원구 월계1동 광운로 29,"X :127.058403, Y :37.6203147"
다이소,1.0,광운대역,서울특별시 노원구 월계동 63-10,"X :127.064210, Y :37.6158339"
올리브영,1.0,광운대역,월계동 413-1번지 1층 2호 노원구 서울특별시 KR,"X :127.060932, Y :37.6232687"
스타벅스,1.0,광운대역,서울특별시 노원구 석계로 104,"X :127.060637, Y :37.6231337"
이디야,1.0,월계역,월계동 290-1번지 1층 ID시티 노원구 서울특별시 KR,"X :127.058796, Y :37.6298379"
다이소,1.0,월계역,서울특별시 노원구 월계동 63-10,"X :127.064210, Y :37.6158339"
올리브영,1.0,월계역,월계동 413-1번지 1층 2호 노원구 서울특별시 KR,"X :127.060932, Y :37.6232687"
스타벅스,1.0,월계역,서울특별시 노원구 월계동 초안산로2라길 26,"X :127.057301, Y :37.6302801"
이디야,3.0,오금역,"가락 스타 클래스, 8 가락동 송파구 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,3.0,오금역,서울특별시 송파구 가락동 7,"X :127.125311, Y :37.5030626"
올리브영,3.0,오금역,서울특별시 송파구 가락동 167-4,"X :127.135637, Y :37.4973029"
스타벅스,3.0,오금역,송파구 오금동 17-8,"X :127.126643, Y :37.5085392"
이디야,3.0,경찰병원역,서울특별시 송파구 가락동 송이로 87,"X :127.120779, Y :37.4983099"
다이소,3.0,경찰병원역,서울특별시 송파구 가락본동 중대로 109,"X :127.120478, Y :37.4938233"
올리브영,3.0,경찰병원역,가락동 99-7번지 102호 가락아이디타워 1층 송파구 서울특별시 KR,"X :127.120037, Y :37.4935714"
스타벅스,3.0,경찰병원역,송파구 중대로 121,"X :127.121553, Y :37.4944078"
이디야,3.0,가락시장역,가락동 600번지 판매동 3층 07호 -1호 가락농수산물시장 송파구 서울특별시 KR,"X :127.108696, Y :37.4945193"
다이소,3.0,가락시장역,서울특별시 송파구 가락본동 중대로 109,"X :127.120478, Y :37.4938233"
올리브영,3.0,가락시장역,가락동 99-7번지 102호 가락아이디타워 1층 송파구 서울특별시 KR,"X :127.120037, Y :37.4935714"
스타벅스,3.0,가락시장역,송파구 중대로 121,"X :127.121553, Y :37.4944078"
이디야,3.0,수서역,서울특별시 강남구 수서동 광평로 280,"X :127.103473, Y :37.4874150"
다이소,3.0,수서역,서울특별시 송파구 가락본동 중대로 109,"X :127.120478, Y :37.4938233"
올리브영,3.0,수서역,서울특별시 강남구 광평로,"X :우편번호없음, Y :x좌표없음"
스타벅스,3.0,수서역,서울특별시 강남구 광평로 281,"X :127.102649, Y :37.4879924"
이디야,3.0,일원역,서울특별시 강남구 일원동 685-13,"X :127.081598, Y :37.4903872"
다이소,3.0,일원역,서울특별시 강남구 광평로,"X :우편번호없음, Y :x좌표없음"
올리브영,3.0,일원역,서울특별시 강남구 일원동 717번지 삼성생명일원역빌딩 1층 114호,"X :127.084440, Y :37.4840062"
스타벅스,3.0,일원역,서울특별시 강남구 광평로 281,"X :127.102649, Y :37.4879924"
이디야,3.0,대청역,서울특별시 강남구 일원동 685-13,"X :127.081598, Y :37.4903872"
다이소,3.0,대청역,서울특별시 강남구 도곡로 435,"X :127.057553, Y :37.4983840"
올리브영,3.0,대청역,서울특별시 강남구 일원동 717번지 삼성생명일원역빌딩 1층 114호,"X :127.084440, Y :37.4840062"
스타벅스,3.0,대청역,서울특별시 강남구 대치동 994-10,"X :127.068499, Y :37.4979818"
이디야,3.0,학여울역,서울특별시 강남구 대치동 943-24,"X :127.059448, Y :37.5068254"
다이소,3.0,학여울역,서울특별시 강남구 남부순환로 2921,"X :127.059483, Y :37.4934996"
올리브영,3.0,학여울역,서울특별시 강남구 대치1동 622-1,"X :127.060342, Y :37.4936614"
스타벅스,3.0,학여울역,서울특별시 강남구 대치동 994-10,"X :127.068499, Y :37.4979818"
이디야,3.0,대치역,서울특별시 강남구 대치4동 935-1,"X :127.054284, Y :37.4979980"
다이소,3.0,대치역,서울특별시 강남구 남부순환로 2921,"X :127.059483, Y :37.4934996"
올리브영,3.0,대치역,서울특별시 강남구 대치1동 622-1,"X :127.060342, Y :37.4936614"
스타벅스,3.0,대치역,남부순환로 2936 원플러스 상가 107호 강남구 서울특별시 KR,"X :127.061891, Y :37.4933452"
이디야,3.0,도곡역,도곡동 467-18번지 우성캐릭터빌 199 103호 이디야 도곡점 강남구 서울특별시 KR,"X :127.050997, Y :37.4870703"
다이소,3.0,도곡역,서울특별시 강남구 도곡동 544-2,"X :127.039998, Y :37.4918047"
올리브영,3.0,도곡역,서울특별시 강남구 도곡동 467-14번지,"X :127.053192, Y :37.4887272"
스타벅스,3.0,도곡역,강남구 대치동 651,"X :127.057390, Y :37.4921671"
이디야,3.0,매봉역,도곡동 467-18번지 우성캐릭터빌 199 103호 이디야 도곡점 강남구 서울특별시 KR,"X :127.050997, Y :37.4870703"
다이소,3.0,매봉역,서울특별시 강남구 남부순환로 2748,"X :127.047085, Y :37.4866034"
올리브영,3.0,매봉역,서울특별시 강남구 도곡동 467-14번지,"X :127.053192, Y :37.4887272"
스타벅스,3.0,매봉역,서울특별시 강남구 도곡로 205,"X :127.041243, Y :37.4930927"
이디야,3.0,양재역,서울특별시 서초구 양재1동 강남대로 221,"X :127.034307, Y :37.4834001"
다이소,3.0,양재역,서울특별시 서초구 양재동 남부순환로 2614 한솔로이젠트,"X :127.036636, Y :37.4844626"
올리브영,3.0,양재역,서울특별시 서초구 남부순환로 2585,"X :127.033369, Y :37.4847608"
스타벅스,3.0,양재역,서울특별시 서초구 양재1동 강남대로 202,"X :127.036839, Y :37.4823632"
이디야,3.0,남부터미널역,서울특별시 서초구 서초동 1444-2,"X :127.018829, Y :37.4847008"
다이소,3.0,남부터미널역,서울특별시 서초구 서초중앙로 36,"X :127.016183, Y :37.4855571"
올리브영,3.0,남부터미널역,서울특별시 서초구 서초동 1602-2,"X :127.015007, Y :37.4849986"
스타벅스,3.0,남부터미널역,서울특별시 서초구 서초동 1457-1,"X :127.014193, Y :37.4843770"
이디야,3.0,교대역,서울특별시 서초구 서초동 1669-15,"X :127.017089, Y :37.4934678"
다이소,3.0,교대역,서울특별시 서초구 서초동 서초대로 320,"X :127.016581, Y :37.4941797"
올리브영,3.0,교대역,서울특별시 서초구 서초동 1576-8,"X :127.013934, Y :37.4903597"
스타벅스,3.0,교대역,서울특별시 서초구 서초동 서초중앙로 138,"X :127.013957, Y :37.4942160"
이디야,3.0,고속터미널역,서울특별시 서초구 반포동 194,"X :127.000749, Y :37.5039475"
다이소,3.0,고속터미널역,서울특별시 서초구 반포4동 19-4,"X :127.006811, Y :37.5064161"
올리브영,3.0,고속터미널역,"서울특별시 서초구 반포동 로 지하 188 26, 27호 엔터식스 강남점","X :우편번호없음, Y :x좌표없음"
스타벅스,3.0,고속터미널역,서울특별시 서초구 신반포로 194,"X :127.007105, Y :37.5055601"
이디야,3.0,잠원역,서울특별시 서초구 잠원동 38-26,"X :127.020136, Y :37.5109197"
다이소,3.0,잠원역,서울특별시 서초구 반포4동 19-4,"X :127.006811, Y :37.5064161"
올리브영,3.0,잠원역,서울특별시 서초구 잠원로 51 NC백화점 강남점 1관 1층,"X :127.007287, Y :37.5093804"
스타벅스,3.0,잠원역,서울특별시 서초구 잠원동 신반포로 257,"X :127.014344, Y :37.5099384"
이디야,3.0,신사역,서울특별시 강남구 압구정로2길 62,"X :127.021415, Y :37.5177761"
다이소,3.0,신사역,서울특별시 강남구 논현동 강남대로 596,"X :127.020487, Y :37.5149201"
올리브영,3.0,신사역,서울특별시 강남구 도산대로 116 논현빌딩 1층,"X :127.021540, Y :37.5165237"
스타벅스,3.0,신사역,서울특별시 강남구 도산대로 116 논현빌딩 1층,"X :127.021540, Y :37.5165237"
이디야,3.0,압구정역,논현로167길 16 KR 서울특별시 강남구 106 호 2층,"X :127.026893, Y :37.5247848"
다이소,3.0,압구정역,서울특별시 강남구 논현로 878,"X :127.028952, Y :37.5270459"
올리브영,3.0,압구정역,서울특별시 강남구 신사동 611-1,"X :127.020162, Y :37.5260655"
스타벅스,3.0,압구정역,서울특별시 강남구 압구정로30길 17,"X :127.029393, Y :37.5262979"
이디야,3.0,옥수역,서울특별시 성동구 옥수동 365-20,"X :127.016692, Y :37.5419956"
다이소,3.0,옥수역,서울특별시 성동구 동호로 21,"X :127.016963, Y :37.5393647"
올리브영,3.0,옥수역,서울특별시 성동구 금호동4가 544,"X :127.022713, Y :37.5475989"
스타벅스,3.0,옥수역,서울특별시 성동구 옥수동 262-1,"X :127.013332, Y :37.5429781"
이디야,3.0,금호역,"66, 금호산길 성동구 서울특별시","X :우편번호없음, Y :x좌표없음"
다이소,3.0,금호역,서울특별시 성동구 독서당로 290-1,"X :127.021356, Y :37.5478243"
올리브영,3.0,금호역,서울특별시 성동구 금호동4가 544,"X :127.022713, Y :37.5475989"
스타벅스,3.0,금호역,서울특별시 성동구 금호동4가 1483,"X :127.015324, Y :37.5480144"
이디야,3.0,약수역,서울특별시 중구 신당동 373-70번지 1층,"X :127.011613, Y :37.5545200"
다이소,3.0,약수역,서울특별시 중구 신당동 다산로 130-1,"X :127.011195, Y :37.5553309"
올리브영,3.0,약수역,신당동 369-7번지 중구 서울특별시 KR,"X :x좌표없음, Y :y좌표없음"
스타벅스,3.0,약수역,서울특별시 중구 다산로 129,"X :127.010708, Y :37.5554210"
이디야,3.0,동대입구역,서울특별시 중구 신당동 373-70번지 1층,"X :127.011613, Y :37.5545200"
다이소,3.0,동대입구역,서울특별시 중구 신당동 다산로 130-1,"X :127.011195, Y :37.5553309"
올리브영,3.0,동대입구역,신당동 369-7번지 중구 서울특별시 KR,"X :x좌표없음, Y :y좌표없음"
스타벅스,3.0,동대입구역,서울특별시 중구 장충단로 166,"X :127.006181, Y :37.5596650"
이디야,3.0,충무로역,서울특별시 중구 필동 퇴계로 188,"X :126.992532, Y :37.5608090"
다이소,3.0,충무로역,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
올리브영,3.0,충무로역,서울특별시 중구 필동2가 37-10,"X :126.996391, Y :37.5615210"
스타벅스,3.0,충무로역,서울특별시 중구 필동 퇴계로 197,"X :126.993913, Y :37.5614128"
이디야,3.0,을지로3가역,서울특별시 중구 수표로 45,"X :126.989656, Y :37.5654398"
다이소,3.0,을지로3가역,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
올리브영,3.0,을지로3가역,서울특별시 중구 명동3길 36,"X :126.983714, Y :37.5653310"
스타벅스,3.0,을지로3가역,서울특별시 중구 수표로 34,"X :126.990336, Y :37.5644578"
이디야,3.0,안국역,서울특별시 중구 남대문로 29-2,"X :126.978939, Y :37.5614289"
다이소,3.0,안국역,서울특별시 종로구 안국동 율곡로 45,"X :126.984334, Y :37.5763862"
올리브영,3.0,안국역,서울특별시 종로구 안국동 175-3,"X :126.983802, Y :37.5760258"
스타벅스,3.0,안국역,서울특별시 종로구 재동 109,"X :126.985624, Y :37.5773595"
이디야,3.0,경복궁역,서울특별시 종로구 자하문로 7,"X :126.972187, Y :37.5766992"
다이소,3.0,경복궁역,서울특별시 종로구 적선동 사직로 125,"X :126.972844, Y :37.5761407"
올리브영,3.0,경복궁역,서울특별시 종로구 종로 19,"X :126.980011, Y :37.5704390"
스타벅스,3.0,경복궁역,서울특별시 종로구 자하문로4길 6,"X :126.972594, Y :37.5771678"
이디야,3.0,독립문역,서울특별시 종로구 무악동 통일로 266,"X :126.956769, Y :37.5758384"
다이소,3.0,독립문역,서울특별시 서대문구 홍제동 469,"X :126.947378, Y :37.5851507"
올리브영,3.0,독립문역,서울특별시 종로구 교남동 62,"X :126.963836, Y :37.5690745"
스타벅스,3.0,독립문역,서울특별시 종로구 통일로 168-1,"X :우편번호없음, Y :x좌표없음"
이디야,3.0,무악재역,서울특별시 서대문구 홍제동 90-47,"X :126.949666, Y :37.5830795"
다이소,3.0,무악재역,서울특별시 서대문구 홍제동 161-1,"X :126.944794, Y :37.5884111"
올리브영,3.0,무악재역,서울특별시 서대문구 홍제3동 통일로 446,"X :126.944545, Y :37.5887624"
스타벅스,3.0,무악재역,서울특별시 서대문구 통일로 451,"X :126.943899, Y :37.5886900"
이디야,3.0,홍제역,서울특별시 서대문구 홍제동,"X :우편번호없음, Y :x좌표없음"
다이소,3.0,홍제역,서울특별시 서대문구 홍제동 161-1,"X :126.944794, Y :37.5884111"
올리브영,3.0,홍제역,서울특별시 서대문구 홍제3동 통일로 446,"X :126.944545, Y :37.5887624"
스타벅스,3.0,홍제역,서울특별시 서대문구 통일로 451,"X :126.943899, Y :37.5886900"
이디야,3.0,녹변역,녹번동 131-158번지 1층 신명빌딩 은평구 서울특별시 KR,"X :126.926953, Y :37.6087184"
다이소,3.0,녹변역,서울특별시 은평구 갈현동 468-2,"X :126.915997, Y :37.6122609"
올리브영,3.0,녹변역,서울특별시 은평구 응암동 91-3,"X :126.918412, Y :37.5998380"
스타벅스,3.0,녹변역,서울특별시 은평구 녹번동 통일로 636,"X :126.935315, Y :37.6034616"
이디야,3.0,불광역,서울특별시 은평구 불광1동 불광로 59,"X :126.931694, Y :37.6123343"
다이소,3.0,불광역,서울특별시 은평구 대조동 통일로67길 3 상일빌딩,"X :126.928898, Y :37.6108279"
올리브영,3.0,불광역,서울특별시 은평구 불광동 통일로 736,"X :126.929600, Y :37.6112428"
스타벅스,3.0,불광역,서울특별시 은평구 대조동 15-9,"X :126.930282, Y :37.6093962"
이디야,3.0,연신내역,서울특별시 은평구 갈현동 398-6,"X :126.919863, Y :37.6188768"
다이소,3.0,연신내역,서울특별시 은평구 불광동 연서로 253,"X :126.922637, Y :37.6199959"
올리브영,3.0,연신내역,서울특별시 은평구 갈현동 396-4,"X :126.920361, Y :37.6195709"
스타벅스,3.0,연신내역,서울특별시 은평구 통일로 842,"X :126.921880, Y :37.6185899"
이디야,3.0,구파발역,서울특별시 은평구 진관동 29-21,"X :126.926122, Y :37.6458203"
다이소,3.0,구파발역,서울특별시 은평구 진관동 통일로 1050,"X :126.919161, Y :37.6392025"
올리브영,3.0,구파발역,서울특별시 은평구 진관동 100-6,"X :126.918532, Y :37.6342376"
스타벅스,3.0,구파발역,서울특별시 은평구 진관동 진관2로 12,"X :126.920357, Y :37.6333289"
이디야,3.0,지축역,경기도 고양시 덕양구 지축동 643-3,"X :126.913628, Y :37.6520554"
다이소,3.0,지축역,경기도 고양시 덕양구 삼송동 16-45번지,"X :126.894873, Y :37.6529680"
올리브영,3.0,지축역,경기도 고양시 덕양구 권율 대로 893,"X :126.889689, Y :37.6635857"
스타벅스,3.0,지축역,경기도 고양시 덕양구 삼송동 291 KR,"X :126.896108, Y :37.6526538"
이디야,3.0,대화역,경기도 고양시 일산서구 대화동 2222,"X :126.747456, Y :37.6757086"
다이소,3.0,대화역,일산서구 일산동 1054-1번지 1층 고양시 경기도 KR,"X :126.762826, Y :37.6795248"
올리브영,3.0,대화역,경기도 고양시 일산서구 대화동 2219,"X :126.746083, Y :37.6761291"
스타벅스,3.0,대화역,경기도 고양시 일산서구 중앙로 1559,"X :126.748194, Y :37.6754039"
이디야,3.0,대곡역,경기도 고양시 일산서구 대화동 2222,"X :126.747456, Y :37.6757086"
