건물,호선,역,주소,cor
다이소,2.0,한양대,서울특별시 성동구 행당동 왕십리광장로 17,"X :127.038416, Y :37.5610558"
이디야,2.0,한양대,서울특별시 성동구 행당동 281-3,"X :127.034556, Y :37.5613633"
올리브영,2.0,한양대,행당동 19-98번지 1층 성동구 서울특별시 KR,"X :127.040644, Y :37.5589197"
스타벅스,2.0,뚝섬,서울특별시 성동구 성수동1가 아차산로 42,"X :127.049090, Y :37.5464289"
다이소,2.0,뚝섬,성수동2가 561-1번지 승재빌딩 1층 성동구 서울특별시 KR,"X :127.055081, Y :37.5371460"
이디야,2.0,뚝섬,서울특별시 성동구 성수동1가 14-1,"X :127.048797, Y :37.5473480"
올리브영,2.0,뚝섬,서울특별시 성동구 성수동2가 300-65,"X :127.054465, Y :37.5452913"
스타벅스,2.0,성수,서울특별시 성동구 성수동2가 317-20 세림빌딩,"X :127.056941, Y :37.5432179"
다이소,2.0,성수,성수동2가 561-1번지 승재빌딩 1층 성동구 서울특별시 KR,"X :127.055081, Y :37.5371460"
이디야,2.0,성수,서울특별시 성동구 성수동2가 315-74 103호,"X :127.055222, Y :37.5442819"
올리브영,2.0,성수,서울특별시 성동구 성수동2가 300-65,"X :127.054465, Y :37.5452913"
스타벅스,2.0,건대입구,서울특별시 광진구 화양동 5-47,"X :127.070721, Y :37.5406878"
다이소,2.0,건대입구,서울특별시 광진구 아차산로 225 지하 1층,"X :127.068447, Y :37.5409414"
이디야,2.0,건대입구,서울특별시 광진구 화양동 한림타워 7-3 101호,"X :127.068967, Y :37.5407970"
올리브영,2.0,건대입구,서울특별시 광진구 화양동 동일로22길 115,"X :127.070450, Y :37.5407691"
스타벅스,2.0,구의,서울특별시 광진구 구의동 246-15,"X :127.084012, Y :37.5369942"
다이소,2.0,구의,서울특별시 광진구 아차산로 378,"X :127.084815, Y :37.5365071"
이디야,2.0,구의,구의동 244-50번지 1층 광진구 서울특별시 KR,"X :127.089298, Y :37.5381797"
올리브영,2.0,구의,서울특별시 광진구 자양2동 아차산로 378,"X :127.084815, Y :37.5365071"
스타벅스,2.0,강변,서울특별시 광진구 구의동 246-15,"X :127.084012, Y :37.5369942"
다이소,2.0,강변,서울특별시 광진구 강변역로 50,"X :127.093637, Y :37.5339687"
이디야,2.0,강변,서울특별시 광진구 구의3동 547,"X :127.092212, Y :37.5341230"
올리브영,2.0,강변,서울특별시 광진구 강변역로4길 10,"X :127.093582, Y :37.5355005"
스타벅스,2.0,잠실나루,서울특별시 송파구 송파동 59-9 송봉주유소,"X :127.110246, Y :37.5108170"
다이소,2.0,잠실나루,서울특별시 송파구 석촌호수로 88,"X :127.086865, Y :37.5084576"
이디야,2.0,잠실나루,서울특별시 송파구 장미시상가 내제 2층 206호,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,잠실나루,서울특별시 송파구 신천동 올림픽로 269,"X :127.100694, Y :37.5142852"
스타벅스,2.0,잠실,서울특별시 송파구 신천동 송파대로 562 1층,"X :127.099213, Y :37.5151965"
다이소,2.0,잠실,서울특별시 송파구 석촌호수로 88,"X :127.086865, Y :37.5084576"
이디야,2.0,잠실,서울특별시 송파구 신천동 11-4,"X :127.103424, Y :37.5174724"
올리브영,2.0,잠실,서울특별시 송파구 잠실6동 7-4 잠실역8호선 지하상가 H7~10호,"X :127.104201, Y :37.5149670"
스타벅스,2.0,잠실새내,송파구 잠실동 181,"X :127.081190, Y :37.5114529"
다이소,2.0,잠실새내,서울특별시 송파구 석촌호수로 88,"X :127.086865, Y :37.5084576"
이디야,2.0,잠실새내,서울특별시 송파구 서울특별시 잠실본동 잠실동 208번지 지층 102호,"X :127.085205, Y :37.5106572"
올리브영,2.0,잠실새내,서울특별시 송파구 잠실동 184-2,"X :127.083611, Y :37.5113881"
스타벅스,2.0,종합운동장,"175 Jamsil-Dong Songpa-Gu, Seoul, 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,2.0,종합운동장,서울특별시 송파구 잠실동 175-22,"X :127.078804, Y :37.5113554"
이디야,2.0,종합운동장,서울특별시 송파구 잠실본동 올림픽로 76,"X :127.078996, Y :37.5115534"
올리브영,2.0,종합운동장,서울특별시 송파구 잠실동 184-2,"X :127.083611, Y :37.5113881"
스타벅스,2.0,삼성,서울특별시 강남구 봉은사로 524,"X :127.058796, Y :37.5125020"
다이소,2.0,삼성,서울특별시 강남구 삼성1동 172-38,"X :127.060778, Y :37.5152851"
이디야,2.0,삼성,서울특별시 강남구 대치동 943-24,"X :127.059448, Y :37.5068254"
올리브영,2.0,삼성,서울특별시 강남구 역삼동 649-10,"X :127.029881, Y :37.4990426"
스타벅스,2.0,역삼,서울특별시 강남구 테헤란로 145,"X :127.035038, Y :37.5007531"
다이소,2.0,역삼,서울특별시 강남구 역삼1동 테헤란로 109,"X :127.028976, Y :37.4987995"
이디야,2.0,역삼,서울특별시 강남구 테헤란로25길 17,"X :127.035186, Y :37.5017983"
올리브영,2.0,역삼,서울특별시 강남구 역삼동 649-10,"X :127.029881, Y :37.4990426"
스타벅스,2.0,강남,서울특별시 강남구 강남대로 390,"X :127.028614, Y :37.4978266"
다이소,2.0,강남,서울특별시 강남구 역삼1동 테헤란로 109,"X :127.028976, Y :37.4987995"
이디야,2.0,강남,서울특별시 강남구 강남대로 396,"X :127.030014, Y :37.4931680"
올리브영,2.0,강남,서울특별시 서초구 서초4동 동일빌딩 1~3층 429 강남대로,"X :127.025754, Y :37.5007825"
스타벅스,2.0,교대,서울특별시 서초구 서초동 서초중앙로 138,"X :127.013957, Y :37.4942160"
다이소,2.0,교대,서울특별시 서초구 서초동 서초대로 320,"X :127.016581, Y :37.4941797"
이디야,2.0,교대,서울특별시 서초구 서초동 1669-15,"X :127.017089, Y :37.4934678"
올리브영,2.0,교대,서울특별시 서초구 서초동 1576-8,"X :127.013934, Y :37.4903597"
스타벅스,2.0,서초,서울특별시 서초구 서초동 1542-14,"X :127.008597, Y :37.4906485"
