,건물,호선,역,주소
260,스타벅스,3,수서역,서울특별시 강남구 광평로 281
261,이디야,3,일원역,서울특별시 강남구 일원동 685-13
262,다이소,3,일원역,서울특별시 강남구 광평로
263,올리브영,3,일원역,서울특별시 강남구 일원동 717번지 삼성생명일원역빌딩 1층 114호
264,스타벅스,3,일원역,서울특별시 강남구 광평로 281
265,이디야,3,대청역,서울특별시 강남구 일원동 685-13
266,다이소,3,대청역,서울특별시 강남구 도곡로 435
267,올리브영,3,대청역,서울특별시 강남구 일원동 717번지 삼성생명일원역빌딩 1층 114호
268,스타벅스,3,대청역,서울특별시 강남구 대치동 994-10
269,이디야,3,학여울역,서울특별시 강남구 대치동 943-24
270,다이소,3,학여울역,서울특별시 강남구 남부순환로 2921
271,올리브영,3,학여울역,서울특별시 강남구 대치1동 622-1
272,스타벅스,3,학여울역,서울특별시 강남구 대치동 994-10
273,이디야,3,대치역,서울특별시 강남구 대치4동 935-1
274,다이소,3,대치역,서울특별시 강남구 남부순환로 2921
275,올리브영,3,대치역,서울특별시 강남구 대치1동 622-1
276,스타벅스,3,대치역,남부순환로 2936 원플러스 상가 107호 강남구 서울특별시 KR
277,이디야,3,도곡역,도곡동 467-18번지 우성캐릭터빌 199 103호 이디야 도곡점 강남구 서울특별시 KR
278,다이소,3,도곡역,서울특별시 강남구 도곡동 544-2
279,올리브영,3,도곡역,서울특별시 강남구 도곡동 467-14번지
280,스타벅스,3,도곡역,강남구 대치동 651
281,이디야,3,매봉역,도곡동 467-18번지 우성캐릭터빌 199 103호 이디야 도곡점 강남구 서울특별시 KR
282,다이소,3,매봉역,서울특별시 강남구 남부순환로 2748
283,올리브영,3,매봉역,서울특별시 강남구 도곡동 467-14번지
284,스타벅스,3,매봉역,서울특별시 강남구 도곡로 205
285,이디야,3,양재역,서울특별시 서초구 양재1동 강남대로 221
286,다이소,3,양재역,서울특별시 서초구 양재동 남부순환로 2614 한솔로이젠트
287,올리브영,3,양재역,서울특별시 서초구 남부순환로 2585
288,스타벅스,3,양재역,서울특별시 서초구 양재1동 강남대로 202
289,이디야,3,남부터미널역,서울특별시 서초구 서초동 1444-2
290,다이소,3,남부터미널역,서울특별시 서초구 서초중앙로 36
291,올리브영,3,남부터미널역,서울특별시 서초구 서초동 1602-2
292,스타벅스,3,남부터미널역,서울특별시 서초구 서초동 1457-1
293,이디야,3,교대역,서울특별시 서초구 서초동 1669-15
294,다이소,3,교대역,서울특별시 서초구 서초동 서초대로 320
295,올리브영,3,교대역,서울특별시 서초구 서초동 1576-8
296,스타벅스,3,교대역,서울특별시 서초구 서초동 서초중앙로 138
297,이디야,3,고속터미널역,서울특별시 서초구 반포동 194
298,다이소,3,고속터미널역,서울특별시 서초구 반포4동 19-4
299,올리브영,3,고속터미널역,"서울특별시 서초구 반포동 로 지하 188 26, 27호 엔터식스 강남점"
300,스타벅스,3,고속터미널역,서울특별시 서초구 신반포로 194
301,이디야,3,잠원역,서울특별시 서초구 잠원동 38-26
302,다이소,3,잠원역,서울특별시 서초구 반포4동 19-4
