건물,호선,역,주소
스타벅스,2,구디단,서울특별시 구로구 구로동 디지털로32길 30
다이소,2,구디단,서울특별시 관악구 신림동 시흥대로 557 지하 1층
이디야,2,구디단,서울특별시 구로구 디지털로30길 31
올리브영,2,구디단,서울특별시 구로구 구로3동 187-10
스타벅스,2,대림,구로구 구로동 191-7
다이소,2,대림,서울특별시 영등포구 대림동 도림로 157
이디야,2,대림,서울특별시 영등포구 도림로31길 2
올리브영,2,대림,서울특별시 관악구 신림동 1643-5
스타벅스,2,용답,서울특별시 동대문구 천호대로 263
다이소,2,용답,서울특별시 성동구 천호대로 308
이디야,2,용답,서울특별시 성동구 용답동
올리브영,2,용답,서울특별시 동대문구 고미술로 81 1층 103호
스타벅스,2,신답,서울특별시 동대문구 천호대로 263
다이소,2,신답,서울특별시 성동구 천호대로 308
이디야,2,신답,서울특별시 동대문구 천호대로 265
올리브영,2,신답,서울특별시 동대문구 고미술로 81 1층 103호
스타벅스,2,용두,서울특별시 동대문구 왕산로 19
다이소,2,용두,서울특별시 동대문구 용신동 47-9
이디야,2,용두,서울특별시 동대문구 용두동 40-1
올리브영,2,용두,서울특별시 동대문구 고미술로 81 1층 103호
스타벅스,2,신설동,서울특별시 동대문구 왕산로 19
다이소,2,신설동,서울특별시 종로구 창신동 율곡로 309
이디야,2,신설동,서울특별시 종로구 숭인동
올리브영,2,신설동,서울특별시 동대문구 신설동
스타벅스,4,진접,경기도 남양주시 진접읍 장현리 230-6
다이소,4,진접,경기도 남양주시 진접읍 연평리 59-3
이디야,4,진접,경기도 남양주시 진접읍 경복대로 233
올리브영,4,진접,경기도 남양주시 진접읍 장현리 634-4
스타벅스,4,오남,경기도 남양주시 진접읍 연평리 59-3 KR
다이소,4,오남,경기도 남양주시 오남읍 오남리 328
이디야,4,오남,경기도 남양주시 오남읍 양지리 94-1
올리브영,4,오남,경기도 남양주시 진접읍 장현리 634-4
스타벅스,4,별내별가람,경기도 남양주시 별내동 824
다이소,4,별내별가람,경기도 남양주시 별내동 826-10
이디야,4,별내별가람,"827-2, 별내동 남양주시 경기도"
올리브영,4,별내별가람,경기도 남양주시 별내중앙로 84
스타벅스,4,당고개,서울특별시 노원구 노원로 569
다이소,4,당고개,서울특별시 노원구 상계3.4동 72-8
이디야,4,당고개,서울특별시 노원구 상계동 111-491
올리브영,4,당고개,서울특별시 노원구 상계2동 상계로 65
스타벅스,4,상계,서울특별시 노원구 동일로 1413
다이소,4,상계,서울특별시 노원구 중계동 141-32
이디야,4,상계,서울특별시 노원구 중계4동 덕릉로 698
올리브영,4,상계,서울특별시 노원구 상계동 763-4
스타벅스,4,노원,서울특별시 노원구 동일로 1413
다이소,4,노원,서울특별시 노원구 동일로 1392
이디야,4,노원,"617, 상계2동 노원구 서울특별시"
올리브영,4,노원,서울특별시 노원구 노해로 480 조광 빌딩 1 층
스타벅스,4,창동,서울특별시 도봉구 창동 135-26 EMART
