E_latitude,E_longitude,D_latitude,D_longitude,O_latitude,O_longitude,S_latitude,S_longitude,Station,Num,ED,DO,OE,Shape,Area
37.5253946,126.964662,37.529584,126.963935,37.5278989,126.963212,37.529584,126.963935,용산,1,0.4702,0.1979,0.3064,Obtuse,0.020850146722813347
37.6298379,127.058796,37.6158339,127.06421,37.6232687,127.060932,37.6302801,127.057301,월계,1,1.6285,0.8757,0.7543,Obtuse,0.02838390544276827
37.5654398,126.989656,37.5639887,126.984722,37.565331,126.983714,37.5644578,126.990336,을지로3가,3,0.4639,0.1737,0.5239,Obtuse,0.03962762838355606
37.5654398,126.989656,37.5702694,127.009952,37.565331,126.983714,37.5660801,126.997274,을지로4가,2,1.8677,2.3768,0.5239,Obtuse,0.130200861442796
37.5679076,126.982038,37.5639887,126.984722,37.565331,126.983714,37.5656553,126.98342,을지로입구,2,0.4958,0.1737,0.3223,Obtuse,0.0016654618256807014
37.5589561,126.941444,37.5570574,126.946402,37.5588139,126.945518,37.5584718,126.945937,이대,2,0.4854,0.2103,0.3595,Obtuse,0.034460971108974836
37.5204958,126.974698,37.529584,126.963935,37.5205678,126.974404,37.5185953,126.977266,이촌,4,1.3864,1.3629,0.0271,Obtuse,0.009276145458690807
37.5174724,127.103424,37.5084576,127.086865,37.514967,127.104201,37.5151965,127.099213,잠실,2,1.7714,1.6918,0.2869,Obtuse,0.2378257258429261
37.5106572,127.085205,37.5084576,127.086865,37.5113881,127.083611,37.5114529,127.08119,잠실새내,2,0.2851,0.4342,0.1624,Obtuse,0.011275709643558786
37.5109197,127.020136,37.5064161,127.006811,37.5093804,127.007287,37.5099384,127.014344,잠원,3,1.2776,0.3323,1.1462,Obtuse,0.18319977881929006
37.42774,126.992028,37.4203607,126.992074,37.4282627,126.992525,37.4262804,126.991847,정부과천청사,4,0.8206,0.8796,0.0728,Obtuse,0.018110847790357612
37.3511779,126.742899,37.3525972,126.740964,37.3445506,126.736658,37.3446512,126.737323,정왕,4,0.2327,0.9723,0.9205,Obtuse,0.10653642197196803
37.4843469,126.764206,37.5040051,126.77249,37.5015702,126.77606,37.4963304,126.764269,중동,1,2.3048,0.4153,2.1821,Obtuse,0.4431455301197184
37.7195435,127.202468,37.7115346,127.185514,37.7176053,127.180868,37.7228433,127.190227,진접,4,1.737,0.7891,1.9121,Obtuse,0.685321266685268
37.6533666,127.049691,37.6427936,127.036847,37.6521784,127.046801,37.6516199,127.046676,창동,4,1.6312,1.3627,0.2867,Obtuse,0.07489231276768576
37.3222779,126.806584,37.3359191,126.81192,37.325921,126.797639,37.3030962,126.812905,초지,4,1.5885,1.6824,0.8887,Acute,0.6954600904736546
37.560809,126.992532,37.5639887,126.984722,37.561521,126.996391,37.5614128,126.993913,충무로,3,0.7739,1.0645,0.3492,Obtuse,0.0873718246867011
37.5612714,126.962211,37.5570794,126.955784,37.5635549,126.977116,37.5613528,126.963331,충정로,2,0.7336,2.0135,1.3381,Obtuse,0.23412537191690752
37.3938471,126.963246,37.4004913,126.977372,37.3962445,126.965357,37.3961452,126.964928,평촌,4,1.4502,1.1617,0.3253,Obtuse,0.09737314996365673
37.5068254,127.059448,37.4934996,127.059483,37.4936614,127.060342,37.4979818,127.068499,학여울,3,1.4818,0.0779,1.4659,Obtuse,0.056178332470873386
37.3076663,126.852114,37.3064728,126.848845,37.3077928,126.852385,37.3086203,126.851244,한대앞,4,0.3181,0.3458,0.0278,Obtuse,0.00039066822188876994
37.5613633,127.034556,37.5610558,127.038416,37.5589197,127.040644,37.5571353,127.042092,한양대,2,0.342,0.3082,0.6015,Obtuse,0.03706837007427954
37.5482538,126.914825,37.5483998,126.917303,37.5500158,126.909618,37.5499818,126.912175,합정,2,0.2191,0.7009,0.4991,Obtuse,0.025169314670407963
37.5835773,127.000624,37.5832349,126.998643,37.5839648,127.002039,37.5824962,127.002164,혜화,4,0.1787,0.3101,0.1319,Obtuse,0.0013500958026077092
37.555592,126.920645,37.5577577,126.925555,37.5560624,126.923429,37.5547088,126.920273,홍대입구,2,0.4953,0.2658,0.2509,Obtuse,0.0182141487114825
37.2790445,126.998857,37.2840802,126.984727,37.2677636,127.001834,37.2674662,127.002848,화서,1,1.3698,2.3628,1.2817,Obtuse,0.7102208490878883
37.5591677,126.980829,37.5607082,126.979414,37.5554902,126.973735,37.5591677,126.980829,회현,4,0.2119,0.7663,0.7472,Acute,0.07906480064144857
